"group","post-operative","code","dx","number","admitdiagnosis","admitdxpath","numobs","possible group",
"Undefined",1,"0.16","Transplant, bone marrow, surgery for","1","S-BMARTRAN","admission diagnosis|All Diagnosis|Operative|Diagnosis|Transplant|Bone marrow transplant",0,,
"Undefined",0,"0.18","Leukemia, other","1","LEUKOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Leukemia, other",9,802,
"Undefined",0,"0.19","Complications of previous open heart surgery (i.e. bleeding, infection etc.)","1","CARDCOMP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Complications of previous open heart surgery (i.e. bleeding, infection etc.)",78,1208,"presumably ANZICS only allows the surgical version of this code"
"Undefined",0,"0.20","Hematologic medical, other","1","M-HEMOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Hematology|Hematologic medical, other",75,802,
"Undefined",0,"0.21","Contusion, myocardial (include r/o)","1","MYOCONTUS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Contusion, myocardial (include r/o)",4,602.09,
"Undefined",1,"0.22","Cranial nerve, decompression/ligation","1","S-CRANERVE","admission diagnosis|All Diagnosis|Operative|Diagnosis|Neurology|Cranial nerve, decompression/ligation",125,408.02,
"Undefined",1,"0.23","Mastectomy (all)","1","S-MASTECT","admission diagnosis|All Diagnosis|Operative|Diagnosis|Genitourinary|Mastectomy (all)",55,1705.03,
"Undefined",1,"0.24","Obstruction due to neoplasm ,surgery for; (with or without ileal-conduit)","1","S-OBSTRNEO","admission diagnosis|All Diagnosis|Operative|Diagnosis|Genitourinary|Obstruction due to neoplasm ,surgery for; (with or without ileal-conduit)",39,1701,
"Undefined",1,"0.25","Laminectomy/spinal cord decompression (excluding malignancies)","1","S-SPINDECO","admission diagnosis|All Diagnosis|Operative|Diagnosis|Neurology|Laminectomy/spinal cord decompression (excluding malignancies)",767,1504,
"Cardiovascular",0,"101.01","Shock; cardiogenic","1","CARDSHOCK","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Shock, cardiogenic",502,,
"Cardiovascular",0,"101.02","Papillary muscle rupture","1","PAPMUSCLE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Papillary muscle rupture",2,,
"Cardiovascular",0,"102.01","Cardiac arrest with or without respiratory arrest; for respiratory arrest see Respiratory System","1","CARDARREST","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Cardiac arrest (with or without respiratory arrest; for respiratory arrest see Respiratory System)",4389,,
"Cardiovascular",0,"102.02","Poisoning, carbon monoxide, arsenic and cyanide; non-traumatic coma due to anoxia/ischemia","1","NTCOMA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Nontraumatic coma due to anoxia/ischemia",11,,"check"
"Cardiovascular",0,"102.02","Poisoning, carbon monoxide, arsenic and cyanide; non-traumatic coma due to anoxia/ischemia","2","POISON","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Poisoning, carbon monoxide, arsenic, cyanide",19,,
"Cardiovascular",0,"103.01","Aneurysm, dissecting aortic","1","DISAANEUR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Aneurysm, dissecting aortic",348,,
"Cardiovascular",0,"104.01","Congestive heart failure","1","CHF","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|CHF, congestive heart failure",5989,,
"Cardiovascular",0,"105.01","Aneurysm/Pseudoaneurysm, other","1","OTHERANEUR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Aneurysm/pseudoaneurysm, other",198,,
"Cardiovascular",0,"105.02","Thrombus, arterial","1","ARTHROMBUS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Thrombus, arterial",623,,
"Cardiovascular",0,"106.01","Rhythm disturbance (primary, e.g. tachyarrhythmias, bradyarrhythymias)","1","RHYTHATR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Rhythm disturbance (atrial, supraventricular)",4354,,"multiple matches"
"Cardiovascular",0,"106.01","Rhythm disturbance (primary, e.g. tachyarrhythmias, bradyarrhythymias)","2","RHYTHCON","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Rhythm disturbance (conduction defect)",1676,,
"Cardiovascular",0,"106.01","Rhythm disturbance (primary, e.g. tachyarrhythmias, bradyarrhythymias)","3","RHYTHVEN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Rhythm disturbance (ventricular)",1113,,
"Cardiovascular",0,"107.01","Infarction, acute myocardial (MI)","1","AMI","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Infarction, acute myocardial (MI)",6790,,
"Cardiovascular",0,"108.01","Hypertension, uncontrolled (for cerebrovascular accident see Neurological System)","1","HYPERTENS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Hypertension, uncontrolled (for cerebrovascular accident-see Neurological System)",1920,,
"Cardiovascular",0,"109.01","Anaphylaxis","1","ANAPHYLAX","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Anaphylaxis",414,,
"Cardiovascular",0,"109.02","Angina, stable (asymptomatic or stable pattern of symptoms with meds)","1","STABANGINA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Angina, stable (asymp or stable pattern of symptoms w/meds)",548,,
"Cardiovascular",0,"109.03","Cardiovascular medical, other","1","M-CAROTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Cardiovascular medical, other",763,,
"Cardiovascular",0,"109.04","Chest pain, atypical (non-cardiac chest pain)","1","ATYPCHSTPA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Chest pain, atypical (noncardiac chest pain)",164,,
"Cardiovascular",0,"109.04","Chest pain, atypical (non-cardiac chest pain)","2","CP-MUSCLSK","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Chest pain, musculoskeletal",0,,"Chest pain, musculoskeletal"
"Cardiovascular",0,"109.04","Chest pain, atypical (non-cardiac chest pain)","3","CP-RESP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Chest pain, respiratory",0,,"Chest pain, respiratory"
"Cardiovascular",0,"109.04","Chest pain, atypical (non-cardiac chest pain)","4","CP-UNK","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Chest pain, unknown origin",0,,"Chest pain, unknown origin"
"Cardiovascular",0,"109.05","Effusion, pericardial","1","PERICEFFUS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Efffusion, pericardial",208,,
"Cardiovascular",0,"109.06","Endocarditis","1","ENDOCARDIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Endocarditis",119,,
"Cardiovascular",0,"109.07","Haematomas","1","HEMATOMAS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Hematomas",116,,
"Cardiovascular",0,"109.08","Haemorrhage (for gastrointestinal bleeding see GI system, for trauma see Trauma)","1","HEMORRHAGE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Hemorrhage (for gastrointestinal bleeding GI-see GI system) (for trauma see Trauma)",325,,
"Cardiovascular",0,"109.09","Hypovolemia (including dehydration). Do NOT include shock states","1","HYPOVOLEM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Hypovolemia (including dehydration, Do not include shock states)",1249,,
"Cardiovascular",0,"109.10","MI admitted > 24 hr after onset of ischemia","1","OTH_MI","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|MI admitted > 24 hrs after onset of ischemia",599,,
"Cardiovascular",0,"109.11","Monitoring, hemodynamic (pre-operative evaluation)","1","PREHEMMON","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Monitoring, hemodynamic (pre-operative evaluation)",188,,
"Cardiovascular",0,"109.12","Pericarditis","1","PERICARDIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Pericarditis",47,,
"Cardiovascular",0,"109.13","Tamponade, pericardial","1","PERITAMPON","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Tamponade, pericardial",79,,
"Cardiovascular",0,"109.14","Thrombosis, vascular (deep vein)","1","DVT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Thrombosis, vascular (deep vein)",470,,
"Cardiovascular",0,"109.15","Toxicity, drug (e.g. digoxin, theophylline, dilantin, etc.)","1","DRUGTOXIC","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Toxicity, drug (i.e., beta blockers, calcium channel blockers, etc.)",58,,
"Cardiovascular",0,"109.16","Vascular medical, other","1","M-VASOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Vascular medical, other",452,,
"Cardiovascular",0,"110.01","Cardiomyopathy","1","CARDIOMYOP","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Cardiomyopathy",519,,
"Cardiovascular",0,"111.01","Angina, unstable (angina interferes with quality of life or meds are tolerated poorly)","1","UNSTANGINA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Angina, unstable (angina interferes w/quality of life or meds are tolerated poorly)",2294,,
"Respiratory",0,"201.01","Pneumonia, aspiration, toxic, chemical pneumonitis","1","PNEUMASPIR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, aspiration",909,,
"Respiratory",0,"202.01","Cancer of the following: laryngeal, lung, oral, tracheal","1","LARYNXCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Cancer, laryngeal",43,,"fuzzy match"
"Respiratory",0,"202.01","Cancer of the following: laryngeal, lung, oral, tracheal","2","ORALCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Cancer, oral",29,,
"Respiratory",0,"202.01","Cancer of the following: laryngeal, lung, oral, tracheal","3","TRACHCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Cancer, tracheal",9,,
"Respiratory",0,"202.01","Cancer of the following: laryngeal, lung, oral, tracheal","4","LUNGCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Cancer, lung",522,312,
"Respiratory",0,"203.01","Arrest, respiratory (without cardiac arrest)","1","RESPARREST","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Arrest, respiratory (without cardiac arrest)",2395,,
"Respiratory",0,"204.01","ARDS-adult respiratory distress syndrome, non-cardiogenic pulmonary edema","1","ARDS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|ARDS-adult respiratory distress syndrome, non-cardiogenic pulmonary edema",734,,
"Respiratory",0,"206.01","Emphysema/Bronchitis","1","EMPHYSBRON","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Emphysema/bronchitis",4128,,
"Respiratory",0,"207.01","Embolus, pulmonary","1","PULMEMBOL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Embolus, pulmonary",1614,,
"Respiratory",0,"208.01","Obstruction-airway (e.g. acute epiglottitis, post-extubation edema, foreign body, etc.)","1","AIROBSTRX","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Obstruction-airway (i.e., acute epiglottitis, post-extubation edema, foreign body, etc)",902,,
"Respiratory",0,"209.01","Asthma","1","ASTHMA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Asthma",803,,
"Respiratory",0,"210.01","Pneumonia, fungal","1","PNEUMFUNG","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, fungal",26,,
"Respiratory",0,"210.02","Pneumonia, parasitic (e.g. Pneumocystis pneumonia)","1","PNEUMPARAS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, parasitic (i.e., Pneumocystic pneumonia)",16,,
"Respiratory",0,"211.01","Apnea, sleep","1","SLEEPAPNEA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Apnea, sleep",61,,
"Respiratory",0,"211.02","Atelectasis","1","ATELECTAS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Atelectasis",318,,
"Respiratory",0,"211.03","Effusions, pleural","1","PLEUREFFUS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Effusions, pleural",918,,
"Respiratory",0,"211.04","Hemorrhage/Haemoptysis, pulmonary","1","PULMONHEM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Hemorrhage/hemoptysis, pulmonary",342,,
"Respiratory",0,"211.05","Hemothorax","1","HEMOTHORAX","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Hemothorax",52,,
"Respiratory",0,"211.06","Hypertension-pulmonary, primary/idiopathic","1","PRIMHYPERT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Hypertension-pulmonary, primary/idiopathic",70,,
"Respiratory",0,"211.07","Near drowning accident","1","NEARDROWN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Near drowning accident",13,,
"Respiratory",0,"211.08","Pneumothorax","1","PNEUMOTHOR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumothorax",302,,
"Respiratory",0,"211.09","Respiratory-medical, other","1","M-RESOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Respiratory - medical, other",2110,,
"Respiratory",0,"211.10","Restrictive lung diseases (e.g. sarcoidosis, pulmonary fibrosis)","1","RESLUNGDIS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Restrictive lung disease (i.e., Sarcoidosis, pulmonary fibrosis)",311,,
"Respiratory",0,"211.11","Smoke inhalation","1","SMOKEINHAL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Smoke inhalation",27,,
"Respiratory",0,"211.12","Weaning from mechanical ventilation (transfer from other unit or hospital only)","1","WEANVENT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Weaning from mechanical ventilation (transfer from other unit or hospital only)",165,,
"Respiratory",0,"212.01","Pneumonia, bacterial","1","PNEUMBACT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, bacterial",3758,,
"Respiratory",0,"212.02","Pneumonia, other","1","PNEUMOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, other",849,,
"Respiratory",0,"213.01","Pneumonia, viral","1","PNEUMVIRAL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Respiratory|Pneumonia, viral",181,,
"Gastrointestinal",0,"301.01","Acute hepatic failure","1","ACUHEPFAIL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Hepatic failure, acute",341,,
"Gastrointestinal",0,"301.02","Hepatic encephalopathy","1","HEPENCEPH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Encephalopathy, hepatic",430,,
"Gastrointestinal",0,"301.03","Hepato-renal syndrome","1","HEPRENSYN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Genitourinary|Hepato-renal syndrome",43,,
"Gastrointestinal",0,"301.04","Liver transplant rejection","1","LIVERTRAN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Transplant|Liver transplant",8,,"assumes admitted in eICU due to rejection"
"Gastrointestinal",0,"303.01","Bleeding, GI from oesophageal varices/portal hypertension","1","VARICBLEED","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Bleeding, GI from esophageal varices/portal hypertension",226,,
"Gastrointestinal",0,"305.01","Bleeding, GI - location unknown","1","UNKGIBLEED","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Bleeding, GI-location unknown",1819,,
"Gastrointestinal",0,"305.02","Bleeding, upper GI","1","UGIBLEED","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Bleeding, upper GI",3047,,
"Gastrointestinal",0,"306.01","Bleeding, lower GI","1","LOWGIBLEED","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Bleeding, lower GI",2266,,
"Gastrointestinal",0,"307.01","GI medical, other","1","M-GIOTHER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|GI medical, other",331,,
"Gastrointestinal",0,"307.02","Haemorrhage, intra/retroperitioneal","1","PERITOHEM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Hemorrhage, intra/retroperitoneal",187,,
"Gastrointestinal",0,"307.03","Ulcer disease, peptic","1","PEPULCER","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Ulcer disease, peptic",7,,
"Gastrointestinal",0,"307.04","Adrenal neoplasm (including phaeochromocytoma)","1","ADRENNEO","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Metabolic/Endocrine|Adrenal neoplasm (including pheochromocytoma)",9,,
"Gastrointestinal",0,"307.05","Chest pain, epigastric","1","CP-GASTRO","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Chest pain, epigastric",77,,
"Gastrointestinal",0,"308.01","GI perforation/rupture","1","GIPERFORAT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|GI perforation/rupture",239,,
"Gastrointestinal",0,"309.01","GI obstruction","1","GIOBSTRX","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|GI obstruction",472,,
"Gastrointestinal",0,"310.01","GI vascular insufficiency","1","GIVASINSUF","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|GI vascular insufficiency",85,,
"Gastrointestinal",0,"311.01","Pancreatitis","1","PANCRITIS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Pancreatitis",642,,
"Gastrointestinal",0,"312.01","Cancer of the colon/rectal","1","COLONRECCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Cancer, colon/rectal",45,,
"Gastrointestinal",0,"312.02","Cancer of the oesophagous","1","ESOPHAGCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Cancer, esophageal",26,,
"Gastrointestinal",0,"312.03","Cancer of the pancreas","1","PANCREATCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Cancer, pancreatic",36,,
"Gastrointestinal",0,"312.04","Cancer of the stomach","1","STOMACHCA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Cancer, stomach",11,,
"Gastrointestinal",0,"312.05","Cancer of other GI","1","OTHERGICA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Cancer, other GI",46,,
"Gastrointestinal",0,"313.01","Cholangitis","1","CHOLANGIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Cholangitis",136,,
"Gastrointestinal",0,"313.02","Diverticular disease","1","DIVERTIC","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Diverticular disease",55,,
"Gastrointestinal",0,"313.03","GI abscess/cyst","1","GIABSCYST","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|GI abscess/cyst",78,,
"Gastrointestinal",0,"313.04","Inflammatory bowel disease","1","INFLAMBOWD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Inflammatory bowel disease",83,,
"Gastrointestinal",0,"313.05","Peritonitis","1","PERITONIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Gastrointestinal|Peritonitis",54,,
"Neurological",0,"401.01","Haemorrhage/Haematoma, intracranial","1","ICH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Hemorrhage/hematoma, intracranial",2291,,
"Neurological",0,"402.01","Subarachnoid haemorrhage/Arteriovenous malformation","1","SAH/AVMAL","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Subarachnoid hemorrhage/arteriovenous malformation",139,,
"Neurological",0,"402.02","Subarachnoid haemorrhage/Intracranial aneurysm","1","SAH/IANEUR","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Subarachnoid hemorrhage/intracranial aneurysm",436,,
"Neurological",0,"403.01","CVA, Cerebrovascular accident/Stroke","1","CVASTROKE","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|CVA, cerebrovascular accident/stroke",6262,,
"Neurological",0,"404.01","Abscess, neurologic","1","NEURABSCES","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Abscess, neurologic",97,,
"Neurological",0,"404.02","Encephalitis","1","ENCEPHALIT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Encephalitis",59,,
"Neurological",0,"404.03","Meningitis","1","MENINGITIS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Meningitis",168,,
"Neurological",0,"405.01","Neoplasm, neurologic","1","NEURONEO","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Neoplasm, neurologic",693,,
"Neurological",0,"406.01","Amyotrophic lateral sclerosis","1","ALS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Amyotrophic lateral sclerosis",10,,
"Neurological",0,"406.02","Guillian-Barre syndrome","1","GUILLIANBS","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Guillain-Barre syndrome",90,,
"Neurological",0,"406.03","Myasthenia gravis","1","MYASTHENIA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Myasthenia gravis",97,,
"Neurological",0,"406.04","Neuromuscular medical, other","1","M-NMUSOTH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Neuromuscular medical, other",109,,
"Neurological",0,"407.01","Seizures (primary-no structural brain disease)","1","SEIZURES","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Seizures (primary-no structural brain disease)",2620,,
"Neurological",0,"408.01","Hydrocephalus, obstructive","1","OHYDROCEPH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Hydrocephalus, obstructive",138,,
"Neurological",0,"408.02","Neurologic medical, other","1","M-NEUROTH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Neurologic medical, other",571,,
"Neurological",0,"408.03","Palsy, cranial nerve","1","CRANEPALSY","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Palsy, cranial nerve",5,,
"Neurological",0,"409.01","Haematoma, epidural","1","EPIHEMATOM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Hematoma, epidural",29,,
"Neurological",0,"409.02","Haematoma, subdural","1","SDH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Hematoma, subdural",1083,,
"Neurological",0,"410.01","Coma/change in level of consciousness (not hepatic, diabetic or CA related)","1","COMA","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Neurology|Coma/change in level of consciousness (for hepatic see GI, for diabetic see Endocrine, if related to cardiac arrest, see CV)",2714,,
"Sepsis",0,"501.01","Sepsis, cutaneous/soft tissue","1","SEPSISCUT","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, cutaneous/soft tissue",1796,,
"Sepsis",0,"501.02","Sepsis, GI","1","SEPSISGI","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, GI",2715,,
"Sepsis",0,"501.03","Sepsis, gynaecologic","1","SEPSISGYN","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, gynecologic",71,,
"Sepsis",0,"501.04","Sepsis, other","1","SEPSISOTH","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, other",1403,,
"Sepsis",0,"501.05","Sepsis, pulmonary","1","SEPSISPULM","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, pulmonary",8375,,
"Sepsis",0,"501.06","Sepsis, unknown","1","SEPSISUNK","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, unknown",2478,,
"Sepsis",0,"502.01","Sepsis, renal/UTI (including bladder)","1","SEPSISUTI","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Cardiovascular|Sepsis, renal/UTI (including bladder)",5003,,
"Sepsis",0,"503.01","Sepsis with shock, not urinary tract","1","SEPSHOCK",,,,"ANZICS addition – we have invented this diagnosis code"
"Sepsis",0,"504.01","Sepsis with shock, urinary tract","1","SEPSHOCKUT",,,,"ANZICS addition – we have invented this diagnosis code"
"Trauma",0,"601.01","Head (CNS) only trauma","1","TRAUMHEAD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head only trauma",1560,,
"Trauma",0,"601.02","Head/abdomen trauma","1","TRHEADABD","admission diagnosis|All Diagnosis|Non-operative|Diagnosis|Trauma|Head/abdomen trauma",42,,
